
700 5 208630 15,070469798657719 861 0,4006514657980456 36
700 6 321270 20,759197324414714 1059 0,43066287108580725 52
700 7 518389 35,31438127090301 1215 0,4204152249134948 72
700 8 887939 34,69230769230769 1450 0,4503105590062112 144
700 9 1082248 31,67558528428094 1602 0,45498437943765974 211
700 10 1933984 39,61538461538461 1798 0,45738997710506235 277
800 2 17292 7,471571906354515 317 0,26818950930626057 0
800 3 59197 9,438127090301004 527 0,3273291925465838 3
800 4 140559 16,862876254180602 780 0,3967446592065107 21
800 5 289028 16,93288590604027 984 0,40863787375415284 36
800 6 481680 20,006688963210703 1192 0,4182456140350877 53
800 7 828550 34,491638795986624 1403 0,4424471775465153 105
800 8 1241990 33,17391304347826 1618 0,4495693248124479 157
800 9 1868511 56,02675585284281 1896 0,46780162842339007 224
800 10 2882334 42,84280936454849 2214 0,49954873646209386 364
900 2 23970 8,046822742474916 334 0,24906785980611484 0
900 3 86013 9,150501672240802 592 0,32296781232951444 5
900 4 196775 16,414715719063544 856 0,386107352277853 11
900 5 434420 19,127090301003346 1100 0,40293040293040294 37
900 6 709071 25,879598662207357 1382 0,4455190199871051 76
900 7 1234367 23,91638795986622 1617 0,4444749862561847 128
900 8 1880489 32,903010033444815 1864 0,45155038759689925 185
900 9 2851900 74,05351170568562 2102 0,46299559471365637 177
900 10 4335197 45,197324414715716 2387 0,4680392156862745 354
1000 2 34457 6,147157190635451 377 0,250332005312085 0
1000 3 118329 10,160535117056856 666 0,33150821304131406 6
1000 4 344773 13,68227424749164 934 0,36975455265241486 23
1000 5 550080 21,150501672240804 1185 0,3836192942699903 51
1000 6 1021880 21,06020066889632 1476 0,4188422247446084 77
1000 7 1737402 32,05685618729097 1818 0,44977733795150915 150
1000 8 2803095 55,247491638795985 2094 0,4590092064883823 229
1000 9 4158404 51,57859531772575 2328 0,45530999413260315 299
1000 10 5978247 36,220735785953174 2594 0,4546091833158079 323
2000 2 297323 6,568561872909699 744 0,24570673712021135 0
2000 3 1071208 12,290969899665551 1330 0,32945256378498883 8
2000 4 2848675 18,598662207357858 1885 0,3754980079681275 49
2000 5 5853508 22,712374581939798 2388 0,39760239760239763 102
2000 6 11803382 23,88628762541806 2993 0,41954022988505746 166
2000 7 19590974 33,46488294314381 3567 0,4406423718344657 253
3000 2 1095253 8,695652173913043 1173 0,2638920134983127 0
3000 3 4512605 11,37123745819398 1999 0,33139920424403185 16
4000 2 3020137 9,749163879598662 1501 0,2501249791701383 0
10 3 19 7,785234899328859 5 0,38461538461538464 0
